Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
289,36,2,2,39878.2077902279,0.1859,270.279658620446
290,36,3,2,19154.1016080954,0.186216666667,482.324513757859
291,36,4,2,84712.8141034032,0.18655,494.324103555526
292,36,5,2,14750.954939258,0.186883333333,582.294567280397
293,36,6,2,12487.9575900281,0.1872,587.424859637486
294,36,7,2,13497.3055563065,0.187533333333,609.437427685254
295,36,8,2,8283.87511411881,0.18785,892.541159773518
296,36,9,2,7194.16705151848,0.188183333333,936.565643511348
297,37,1,1,1109439.739659,0.1902,
298,37,2,2,9656.63531536381,0.1912,393.296611472722
299,37,3,2,9331.88399243296,0.191516666667,505.22338119648
300,37,4,2,97705.77741992,0.19185,522.346386479873
301,37,5,2,54771.4124784135,0.192183333333,558.29610649956
302,37,6,2,41416.5245994681,0.1925,610.308040340397
303,37,7,2,10528.6700860261,0.192833333333,732.547326551771
304,37,8,2,11654.0183462902,0.19315,848.517532810839
305,37,9,2,6964.51036404186,0.193483333333,922.668210907471
306,38,1,1,1424181.694817,0.1955,
307,38,2,2,20456.0071599834,0.1965,273.206326965772
308,38,3,2,16905.9258534853,0.196816666667,285.290751360037
309,38,4,2,12092.0370565972,0.19715,371.315639588777
310,38,5,2,14459.3984277827,0.197483333333,502.292204071802
311,38,6,2,10088.6310609097,0.1978,504.306300294744
312,38,7,2,92249.4006224976,0.198133333333,542.32196841876
313,38,8,2,29782.6516961591,0.19845,568.339371103149
314,38,9,2,10123.9185777603,0.198783333333,684.202552247358
315,39,1,1,1526383.317069,0.200783333333,
316,39,2,2,8431.97204817412,0.201716666667,295.187862039831
317,39,3,2,9139.09329748529,0.20205,440.35846895167
318,39,4,2,12033.8602373098,0.202366666667,478.292544486491
319,39,5,2,11978.5244638467,0.2027,484.385265507554
320,39,6,2,1009524.814758,0.203016666667,520.339978808684
321,39,7,2,17570.3520995554,0.20335,523.349063610628
322,39,8,2,228010.6428318,0.203666666667,544.339369964902
323,39,9,2,19564.0636126996,0.204,570.354251855247
324,40,1,1,1369128.3598,0.206,
325,40,2,2,7390.99766996899,0.2069,528.409808472337
326,40,3,2,8691.04390463097,0.207216666667,550.279179595493
327,40,4,2,35951.4418282729,0.20755,566.322597960664
328,40,5,2,6658.92741903396,0.207866666667,626.279891660655
329,40,6,2,6708.2262251015,0.2082,682.482031027742
330,40,7,2,6347.92357786206,0.208516666667,686.204768390675
331,40,8,2,4934.56274437984,0.20885,688.521100908387
332,40,9,2,6843.34722540775,0.209166666667,758.221473531421
333,41,1,1,1016025.522292,0.2112,
334,41,2,2,45497.9846146332,0.2121,270.278936425424
335,41,3,2,24451.0163506177,0.212416666667,482.325757579041
336,41,4,2,11569.5670133384,0.21275,494.325021936115
337,41,5,2,46545.6014581641,0.213066666667,496.339221882762
338,41,6,2,6723.61874079446,0.2134,582.295262721573
339,41,7,2,8764.45102711016,0.213716666667,660.472905408377
340,41,8,2,7188.43302688344,0.21405,834.614698899975
341,41,9,2,4022.70921794255,0.214383333333,878.639682773836
342,42,1,1,911309.9788034,0.2164,
343,42,2,2,43030.9267546909,0.21735,310.236226999257
344,42,3,2,13247.6015720012,0.217666666667,393.297803467644
345,42,4,2,12650.4195628467,0.218,508.340214046902
346,42,5,2,22102.0881882452,0.218316666667,518.32282762501
347,42,6,2,23519.8257977317,0.21865,558.295541838532
348,42,7,2,22412.362628606,0.218983333333,610.308684212978
349,42,8,2,7030.42940665942,0.2193,616.449159377681
350,42,9,2,3694.37129813941,0.219633333333,733.519380312685
351,43,1,1,622631.6096005,0.22165,
352,43,2,2,17613.299184561,0.222616666667,273.205017915308
353,43,3,2,11273.1499389114,0.222933333333,285.290468384747
354,43,4,2,9738.3627703976,0.223266666667,371.315764067031
355,43,5,2,14997.9512598862,0.223583333333,534.295173111507
356,43,6,2,30258.5790716196,0.223916666667,542.321652376991
357,43,7,2,70113.9816441626,0.22425,546.354839718169
358,43,8,2,4894.25798969197,0.224566666667,594.430660451026
359,43,9,2,9952.61000722583,0.2249,684.203449775067
360,44,1,1,640056.6760758,0.226883333333,
361,44,2,2,7672.72684008251,0.227866666667,295.18794977212
362,44,3,2,179886.9426285,0.2282,520.340081149569
363,44,4,2,9766.27957414975,0.228516666667,536.165477934053
364,44,5,2,12914.7607735558,0.22885,544.339365646959
365,44,6,2,29070.1927339224,0.229166666667,568.33832235335
366,44,7,2,8743.6667452779,0.2295,570.355841992665
367,44,8,2,14493.7068466196,0.229833333333,586.309783993788
368,44,9,2,5735.01258724205,0.23015,638.457035107257
369,45,1,1,729724.6478056,0.232166666667,
370,45,2,2,10444.8890693021,0.23315,409.27143369076
371,45,3,2,25475.5739513165,0.233483333333,498.346760119203
372,45,4,2,6743.04824626038,0.2338,572.420759911177
373,45,5,2,15334.9116482027,0.234133333333,584.311562302849
374,45,6,2,6355.1344334515,0.23445,667.478035125118
375,45,7,2,5400.83291736614,0.234783333333,689.491009543206
376,45,8,2,6469.70827232717,0.235116666667,711.503785448575
377,45,9,2,7012.59116452956,0.235433333333,758.221196651542
378,46,1,1,1162452.896616,0.237466666667,
379,46,2,2,27564.4599907409,0.238466666667,270.279206330982
380,46,3,2,2961.8586914091,0.2388,478.328693727492
381,46,4,2,15764.7974886207,0.239116666667,489.227476134047
382,46,5,2,1057421.056862,0.23945,496.340055279666
383,46,6,2,14714.4222995306,0.239766666667,499.349970369036
384,46,7,2,60256.2458391627,0.2401,506.253559523285
385,46,8,2,14794.3947153055,0.240433333333,529.399081058133
386,46,9,2,4962.24043952916,0.24075,550.406330288122
387,47,1,1,1893978.555816,0.24275,
388,47,2,2,8076.80359619901,0.243683333333,369.169698115656
389,47,3,2,15250.3844151523,0.244,393.298063768493
